Time, Ambient, Target, Weight
737, 36.95, 69.27, 1322809.00
737, 36.99, 69.41, 1322157.00
738, 37.09, 69.51, 1319940.00
739, 37.17, 69.63, 1322903.00
740, 37.23, 69.53, 1322821.00
741, 37.31, 69.53, 1322932.00
742, 37.35, 69.73, 1322943.00
742, 37.41, 69.59, 1322871.00
743, 37.51, 69.65, 1322668.00
744, 37.57, 69.75, 1322008.00
745, 37.61, 69.99, 1320786.00
746, 37.73, 70.05, 1324078.00
747, 37.75, 70.05, 1323197.00
747, 37.81, 70.15, 1321798.00
748, 37.85, 70.13, 1322731.00
749, 37.89, 70.13, 1323376.00
750, 37.99, 70.29, 1322752.00
751, 38.07, 70.53, 1323046.00
752, 38.09, 70.87, 1323003.00
752, 38.21, 71.03, 1322278.00
753, 38.23, 71.07, 1322939.00
754, 38.33, 71.11, 1322630.00
755, 38.35, 71.15, 1322597.00
756, 38.43, 71.03, 1322713.00
757, 38.51, 70.97, 1323149.00
757, 38.55, 70.93, 1323431.00
758, 38.57, 71.03, 1321995.00
759, 38.63, 71.13, 1322718.00
760, 38.69, 71.17, 1322296.00
761, 38.73, 71.21, 1322235.00
762, 38.79, 71.39, 1322364.00
763, 38.87, 71.71, 1322569.00
763, 38.93, 71.67, 1322266.00
764, 38.97, 71.81, 1322176.00
765, 39.07, 71.91, 1322257.00
766, 39.09, 71.79, 1322003.00
767, 39.13, 71.77, 1322192.00
768, 39.19, 71.75, 1322030.00
768, 39.23, 71.69, 1321978.00
769, 39.27, 71.53, 1322035.00
770, 39.35, 71.75, 1321938.00
771, 39.37, 72.05, 1321734.00
772, 39.43, 72.31, 1321628.00
773, 39.49, 72.39, 1321544.00
773, 39.57, 72.27, 1321654.00
774, 39.59, 72.19, 1321425.00
775, 39.67, 72.15, 1321355.00
776, 39.71, 72.07, 1321234.00
777, 39.71, 72.11, 1321229.00
778, 39.79, 72.45, 1321360.00
778, 39.81, 72.49, 1320988.00
779, 39.85, 72.39, 1321247.00
780, 39.93, 72.65, 1321073.00
781, 39.97, 72.77, 1320836.00
782, 39.99, 72.69, 1321053.00
783, 40.05, 72.83, 1320961.00
783, 40.09, 72.95, 1321290.00
784, 40.11, 73.07, 1321160.00
785, 40.19, 73.19, 1321179.00
786, 40.23, 73.39, 1321060.00
787, 40.27, 73.55, 1320957.00
788, 40.33, 73.51, 1320953.00
788, 40.39, 73.67, 1320937.00
789, 40.39, 73.77, 1320988.00
790, 40.47, 73.95, 1321025.00
791, 40.53, 74.03, 1320815.00
792, 40.55, 73.67, 1320830.00
793, 40.61, 73.57, 1320892.00
793, 40.65, 73.57, 1320793.00
794, 40.67, 73.57, 1320891.00
795, 40.73, 73.59, 1320818.00
796, 40.77, 73.81, 1320742.00
797, 40.77, 73.81, 1320704.00
798, 40.83, 73.75, 1320632.00
798, 40.85, 73.71, 1320781.00
799, 40.89, 73.69, 1320715.00
800, 40.91, 73.83, 1320732.00
801, 40.97, 74.03, 1320623.00
802, 40.99, 74.21, 1320728.00
803, 41.03, 74.39, 1320622.00
803, 41.09, 74.33, 1320775.00
804, 41.15, 74.35, 1320618.00
805, 41.15, 74.55, 1320632.00
806, 41.25, 74.75, 1320623.00
807, 41.31, 74.93, 1320514.00
808, 41.33, 74.93, 1320513.00
808, 41.37, 75.05, 1320670.00
809, 41.43, 75.19, 1320563.00
810, 41.43, 75.27, 1320539.00
811, 41.53, 75.13, 1320446.00
812, 41.55, 75.15, 1320533.00
813, 41.59, 75.17, 1320420.00
814, 41.61, 75.07, 1320358.00
814, 41.65, 75.05, 1320445.00
815, 41.71, 75.13, 1320288.00
816, 41.73, 75.21, 1320315.00
817, 41.75, 75.21, 1320361.00
818, 41.79, 75.21, 1320212.00
819, 41.81, 75.19, 1320297.00
819, 41.83, 75.23, 1320173.00
820, 41.87, 75.39, 1320208.00
821, 41.93, 75.53, 1320199.00
822, 41.95, 75.69, 1320189.00
823, 42.01, 75.87, 1320167.00
824, 42.01, 75.81, 1320146.00
824, 42.05, 75.61, 1320087.00
825, 42.07, 75.59, 1320108.00
826, 42.09, 75.63, 1320106.00
827, 42.13, 75.57, 1320106.00
828, 42.13, 75.61, 1320019.00
829, 42.19, 75.95, 1320085.00
829, 42.19, 76.15, 1320080.00
830, 42.23, 76.29, 1320006.00
831, 42.25, 76.33, 1320052.00
832, 42.35, 76.39, 1320088.00
833, 42.39, 76.67, 1320098.00
834, 42.39, 76.63, 1320015.00
834, 42.43, 76.47, 1319996.00
835, 42.47, 76.41, 1319927.00
836, 42.53, 76.47, 1319987.00
837, 42.57, 76.63, 1319881.00
838, 42.59, 76.71, 1319973.00
839, 42.63, 76.79, 1319873.00
839, 42.67, 76.87, 1319961.00
840, 42.69, 76.89, 1319998.00
841, 42.71, 76.91, 1319914.00
842, 42.75, 77.03, 1319878.00
843, 42.81, 77.05, 1319786.00
844, 42.85, 77.01, 1319938.00
844, 42.89, 76.87, 1319743.00
845, 42.91, 76.81, 1319873.00
846, 42.93, 76.71, 1319844.00
847, 42.95, 76.91, 1319782.00
848, 42.97, 77.15, 1319794.00
849, 43.01, 77.03, 1319838.00
849, 43.05, 76.69, 1319806.00
850, 43.03, 76.67, 1319813.00
851, 43.05, 76.79, 1319795.00
852, 43.05, 76.81, 1319773.00
853, 43.11, 76.89, 1319738.00
854, 43.11, 76.81, 1319817.00
854, 43.13, 76.91, 1319806.00
855, 43.11, 76.85, 1319807.00
856, 43.15, 76.97, 1319822.00
857, 43.17, 77.31, 1319749.00
858, 43.19, 77.35, 1319648.00
859, 43.23, 77.11, 1319621.00
859, 43.29, 77.31, 1319669.00
860, 43.29, 77.21, 1319702.00
861, 43.29, 77.37, 1319685.00
862, 43.37, 77.45, 1319703.00
863, 43.39, 77.51, 1319711.00
864, 43.39, 77.27, 1319724.00
865, 43.39, 77.13, 1319724.00
865, 43.43, 77.15, 1319654.00
866, 43.49, 77.33, 1319824.00
867, 43.51, 77.55, 1319668.00
868, 43.53, 77.57, 1319713.00
869, 43.53, 77.37, 1319560.00
870, 43.57, 77.27, 1319579.00
870, 43.57, 77.21, 1319616.00
871, 43.57, 77.21, 1319694.00
872, 43.59, 77.27, 1319715.00
873, 43.59, 77.51, 1319529.00
874, 43.63, 77.61, 1319673.00
875, 43.65, 77.57, 1319615.00
875, 43.69, 77.51, 1319643.00
876, 43.71, 77.57, 1319588.00
877, 43.71, 77.43, 1319531.00
878, 43.69, 77.33, 1319716.00
